Time,PT-455,PT-456,PT-457,PT-458,VC-HV455A,VC-PV455B,VC-PV455C,Heat-Ctrl
,psig,psig,psig,psig,,,,
0,2233.49,2233.49,2233.49,2233.49,0,0,0,1
1,2233.49,2233.49,2233.49,2233.49,0,0,0,1
2,2233.5,2233.5,2233.5,2233.5,0,0,0,1
3,2233.5,2233.5,2233.5,2233.5,0,0,0,1
4,2233.51,2233.51,2233.51,2233.51,0,0,0,1
5,2233.51,2233.51,2233.51,2233.51,0,0,0,1
6,2233.52,2233.52,2233.52,2233.52,0,0,0,1
7,2233.52,2233.52,2233.52,2233.52,0,0,0,1
8,2233.53,2233.53,2233.53,2233.53,0,0,0,1
9,2233.54,2233.54,2233.54,2233.54,0,0,0,1
10,2233.54,2233.54,2233.54,2233.54,0,0,0,1
11,2233.55,2233.55,2233.55,2233.55,0,0,0,1
12,2233.55,2233.55,2233.55,2233.55,0,0,0,1
13,2233.56,2233.56,2233.56,2233.56,0,0,0,1
14,2233.56,2233.56,2233.56,2233.56,0,0,0,1
15,2233.57,2233.57,2233.57,2233.57,0,0,0,1
16,2233.57,2233.57,2233.57,2233.57,0,0,0,1
17,2233.58,2233.58,2233.58,2233.58,0,0,0,1
18,2233.58,2233.58,2233.58,2233.58,0,0,0,1
19,2233.59,2233.59,2233.59,2233.59,0,0,0,1
20,2233.59,2233.59,2233.59,2233.59,0,0,0,1
21,2233.6,2233.6,2233.6,2233.6,0,0,0,1
22,2233.6,2233.6,2233.6,2233.6,0,0,0,1
23,2233.61,2233.61,2233.61,2233.61,0,0,0,1
24,2233.62,2233.62,2233.62,2233.62,0,0,0,1
25,2233.62,2233.62,2233.62,2233.62,0,0,0,1
26,2233.63,2233.63,2233.63,2233.63,0,0,0,1
27,2233.63,2233.63,2233.63,2233.63,0,0,0,1
28,2233.64,2233.64,2233.64,2233.64,0,0,0,1
29,2233.64,2233.64,2233.64,2233.64,0,0,0,1
30,2233.65,2233.65,2233.65,2233.65,0,0,0,1
31,2233.65,2233.65,2233.65,2233.65,0,0,0,1
32,2233.66,2233.66,2233.66,2233.66,0,0,0,1
33,2233.66,2233.66,2233.66,2233.66,0,0,0,1
34,2233.67,2233.67,2233.67,2233.67,0,0,0,1
35,2233.67,2233.67,2233.67,2233.67,0,0,0,1
36,2233.68,2233.68,2233.68,2233.68,0,0,0,1
37,2233.68,2233.68,2233.68,2233.68,0,0,0,1
38,2233.69,2233.69,2233.69,2233.69,0,0,0,1
39,2233.7,2233.7,2233.7,2233.7,0,0,0,1
40,2233.7,2233.7,2233.7,2233.7,0,0,0,1
41,2233.71,2233.71,2233.71,2233.71,0,0,0,1
42,2233.71,2233.71,2233.71,2233.71,0,0,0,1
43,2233.72,2233.72,2233.72,2233.72,0,0,0,1
44,2233.72,2233.72,2233.72,2233.72,0,0,0,1
45,2233.73,2233.73,2233.73,2233.73,0,0,0,1
46,2233.73,2233.73,2233.73,2233.73,0,0,0,1
47,2233.74,2233.74,2233.74,2233.74,0,0,0,1
48,2233.74,2233.74,2233.74,2233.74,0,0,0,1
49,2233.75,2233.75,2233.75,2233.75,0,0,0,1
